5588955;PRJNA450295;SRR7186470
5605408;PRJNA453965;SRR7212579
5605409;PRJNA453965;SRR7212578
5605412;PRJNA453965;SRR7212575
5605414;PRJNA453965;SRR7212573
5605423;PRJNA453965;SRR7212564
5605425;PRJNA453965;SRR7212562
5625108;PRJNA551379;SRR7232417
5625119;PRJNA551379;SRR7232449
5625126;PRJNA551379;SRR7232442
5625127;PRJNA551379;SRR7232441
6494483;PRJNA444977;SRR7976139
671014;PRJNA64033;SRR1182527
7212000;PRJNA450340;SRR8534051
7212002;PRJNA450340;SRR8534049
7212004;PRJNA450340;SRR8534047
7212006;PRJNA450340;SRR8534045
7212008;PRJNA450340;SRR8534043
7212017;PRJNA450340;SRR8534034
7212018;PRJNA450340;SRR8534033
7725796;PRJNA535526;SRR8958138
7725797;PRJNA535526;SRR8958137
7725799;PRJNA535526;SRR8958135
7729786;PRJNA539872;SRR8962170
7729788;PRJNA539872;SRR8962168
7752086;PRJNA540190;SRR8983335
7752089;PRJNA540190;SRR8983332
7752093;PRJNA540190;SRR8983328
7752097;PRJNA540190;SRR8983324
7757725;PRJNA540388;SRR8988869
7761810;PRJNA540343;SRR8993021
7761835;PRJNA540353;SRR8993046
7761843;PRJNA540332;SRR8993054
7761848;PRJNA540336;SRR8993059
7762113;PRJNA540327;SRR8993324
7770839;PRJNA540508;SRR9001248
7770853;PRJNA540508;SRR9001234
7775498;PRJNA538197;SRR9003207
7775500;PRJNA538198;SRR9003209
7775502;PRJNA539632;SRR9003212
7776986;PRJNA539635;SRR9005026
7777041;PRJNA538239;SRR9005082
7777079;PRJNA538246;SRR9005124
7777080;PRJNA538263;SRR9005125
7777086;PRJNA538270;SRR9005131
7777172;PRJNA538281;SRR9005224
7777174;PRJNA538282;SRR9005226
7777175;PRJNA538285;SRR9005227
7780018;PRJNA538296;SRR9006460
7780212;PRJNA539637;SRR9006655
7780261;PRJNA539639;SRR9006729
7780335;PRJNA539638;SRR9006805
7781005;PRJNA539649;SRR9007462
7781036;PRJNA539650;SRR9007493
7781307;PRJNA539659;SRR9007827
7782197;PRJNA535981;SRR9008751
7782204;PRJNA535982;SRR9008758
7782365;PRJNA536112;SRR9008931
7782367;PRJNA536111;SRR9008929
7782370;PRJNA536109;SRR9008926
7782375;PRJNA535844;SRR9008921
7782378;PRJNA535846;SRR9008918
7783199;PRJNA535993;SRR9009767
7783202;PRJNA535989;SRR9009764
7783206;PRJNA535983;SRR9009760
7783207;PRJNA535996;SRR9009759
7783209;PRJNA535990;SRR9009757
7789757;PRJNA541100;SRR9015599
7789943;PRJNA538414;SRR9015780
7789950;PRJNA538416;SRR9015787
7789982;PRJNA538419;SRR9015820
7789983;PRJNA538418;SRR9015821
7790174;PRJNA538421;SRR9016012
7790179;PRJNA538422;SRR9016017
